InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536366,85179,CREAM CUPID HEARTS COAT HANGER,23,14/09/2011 00:00,2.43,18335,Italy
536366,85180,RECIPE BOX WITH METAL LID,29,21/08/2011 00:00,9.29,18272,Sweden
536366,85182,WHITE HANGING HEART T-LIGHT HOLDER,15,31/01/2011 00:00,2.15,18064,Italy
536366,85179,RECIPE BOX WITH METAL LID,16,21/09/2011 00:00,2.65,18246,EIRE
536366,85194,HAND WARMER UNION JACK,8,18/03/2011 00:00,9.09,18264,Switzerland
536366,85158,BLUE SKITTLE GIFTBOX,18,21/07/2011 00:00,4.39,18167,France
536366,85162,HAND WARMER UNION JACK,38,29/03/2011 00:00,1.99,18288,EIRE
536366,85125,CREAM CUPID HEARTS COAT HANGER,24,24/06/2011 00:00,9.04,17900,France
536366,85138,WHITE HANGING HEART T-LIGHT HOLDER,48,06/06/2011 00:00,4.93,17987,Norway
536366,85213,RECIPE BOX WITH METAL LID,11,13/09/2011 00:00,2.22,17915,UK
536366,85148,KNITTED UNION FLAG HOT WATER BOTTLE,18,04/03/2011 00:00,3.57,17992,Belgium
536366,85194,CREAM CUPID HEARTS COAT HANGER,32,27/07/2011 00:00,3.87,18225,France
536366,85148,CREAM CUPID HEARTS COAT HANGER,29,10/08/2011 00:00,4.26,18081,Norway
536366,85146,WHITE HANGING HEART T-LIGHT HOLDER,11,04/12/2010 00:00,13.16,17865,Italy
536366,85152,RECIPE BOX WITH METAL LID,9,02/09/2011 00:00,9.82,18321,Switzerland
536366,85155,KNITTED UNION FLAG HOT WATER BOTTLE,7,14/02/2011 00:00,13.03,18275,EIRE
536367,85173,HAND WARMER UNION JACK,38,16/07/2011 00:00,1.08,17886,Sweden
536367,85180,RED WOOLLY HOTTIE WHITE HEART,21,03/12/2010 00:00,11.18,18328,EIRE
536367,85130,WHITE HANGING HEART T-LIGHT HOLDER,43,26/06/2011 00:00,5.39,18242,Netherlands
536367,85129,CREAM CUPID HEARTS COAT HANGER,21,11/08/2011 00:00,8.16,18219,Switzerland
536367,85159,CREAM CUPID HEARTS COAT HANGER,43,21/12/2010 00:00,4.72,18240,Netherlands
536367,85124,CREAM CUPID HEARTS COAT HANGER,5,14/02/2011 00:00,5.7,17954,Belgium
536367,85217,CREAM CUPID HEARTS COAT HANGER,27,17/05/2011 00:00,8.91,18329,UK
536367,85222,RECIPE BOX WITH METAL LID,35,30/03/2011 00:00,2.83,17857,EIRE
536367,85186,CREAM CUPID HEARTS COAT HANGER,49,22/09/2011 00:00,12.74,18200,France
536367,85150,KNITTED UNION FLAG HOT WATER BOTTLE,44,08/03/2011 00:00,11.43,18244,Italy
536367,85147,RED WOOLLY HOTTIE WHITE HEART,41,24/09/2011 00:00,14.44,17994,Netherlands
536367,85183,KNITTED UNION FLAG HOT WATER BOTTLE,7,02/05/2011 00:00,4.73,18199,Norway
536367,85135,KNITTED UNION FLAG HOT WATER BOTTLE,30,19/09/2011 00:00,13.87,18261,Sweden
536367,85221,KNITTED UNION FLAG HOT WATER BOTTLE,14,31/12/2010 00:00,2.66,17921,Belgium
536367,85199,HAND WARMER UNION JACK,34,19/02/2011 00:00,8.46,17987,EIRE
536367,85207,KNITTED UNION FLAG HOT WATER BOTTLE,3,01/06/2011 00:00,2.79,17976,Belgium
536367,85169,KNITTED UNION FLAG HOT WATER BOTTLE,20,13/09/2011 00:00,7.33,18184,Italy
536367,85137,HAND WARMER UNION JACK,40,17/09/2011 00:00,13.83,18174,Norway
536367,85217,RECIPE BOX WITH METAL LID,22,23/06/2011 00:00,7.63,17985,Italy
536367,85136,RECIPE BOX WITH METAL LID,18,17/03/2011 00:00,11.95,18228,Sweden
536368,85128,CREAM CUPID HEARTS COAT HANGER,9,13/03/2011 00:00,4.32,18303,Belgium
536368,85210,CREAM CUPID HEARTS COAT HANGER,8,09/02/2011 00:00,7.65,18323,Netherlands
536368,85151,WHITE HANGING HEART T-LIGHT HOLDER,27,06/09/2011 00:00,4.51,18320,Italy
536368,85155,RECIPE BOX WITH METAL LID,8,22/05/2011 00:00,2.38,18283,EIRE
536368,85145,RECIPE BOX WITH METAL LID,2,16/06/2011 00:00,6.62,18257,France
536368,85163,KNITTED UNION FLAG HOT WATER BOTTLE,28,07/06/2011 00:00,12.59,18319,UK
536368,85219,KNITTED UNION FLAG HOT WATER BOTTLE,47,12/05/2011 00:00,3.24,18091,Germany
536368,85200,RED WOOLLY HOTTIE WHITE HEART,36,31/03/2011 00:00,4.26,18326,Sweden
536368,85203,WHITE HANGING HEART T-LIGHT HOLDER,46,10/09/2011 00:00,12.6,18314,Sweden
536368,85180,BLUE SKITTLE GIFTBOX,46,04/06/2011 00:00,4.53,18066,Netherlands
536368,85197,RECIPE BOX WITH METAL LID,17,22/06/2011 00:00,9.87,18215,Sweden
536368,85157,CREAM CUPID HEARTS COAT HANGER,32,14/09/2011 00:00,5.89,18018,France
536368,85198,CREAM CUPID HEARTS COAT HANGER,5,01/02/2011 00:00,6.03,17885,Italy
536368,85191,BLUE SKITTLE GIFTBOX,16,02/12/2010 00:00,13.32,18345,UK
536368,85124,HAND WARMER UNION JACK,22,01/01/2011 00:00,3.94,18124,France
536368,85156,BLUE SKITTLE GIFTBOX,12,26/09/2011 00:00,13.05,18075,UK
536368,85208,WHITE HANGING HEART T-LIGHT HOLDER,26,19/08/2011 00:00,12.78,18046,France
536368,85151,RECIPE BOX WITH METAL LID,38,17/05/2011 00:00,5.83,17859,Germany
536368,85219,CREAM CUPID HEARTS COAT HANGER,39,19/02/2011 00:00,9.12,18069,Italy
536368,85123,HAND WARMER UNION JACK,12,13/09/2011 00:00,4.66,17901,Norway
536369,85134,CREAM CUPID HEARTS COAT HANGER,42,20/03/2011 00:00,7.32,18108,Switzerland
536369,85175,RECIPE BOX WITH METAL LID,17,18/08/2011 00:00,2.59,17922,Sweden
536369,85176,RED WOOLLY HOTTIE WHITE HEART,21,23/02/2011 00:00,14.31,18166,Netherlands
536369,85151,CREAM CUPID HEARTS COAT HANGER,1,15/08/2011 00:00,12.83,18178,Belgium
536369,85160,WHITE HANGING HEART T-LIGHT HOLDER,6,29/07/2011 00:00,7.05,17907,France
536369,85200,CREAM CUPID HEARTS COAT HANGER,10,12/08/2011 00:00,11.23,18033,Norway
536369,85150,WHITE HANGING HEART T-LIGHT HOLDER,29,13/05/2011 00:00,4.36,18244,Netherlands
536369,85213,HAND WARMER UNION JACK,12,02/01/2011 00:00,10.22,18058,France
536369,85179,RED WOOLLY HOTTIE WHITE HEART,38,23/04/2011 00:00,6.54,17982,Norway
536369,85204,WHITE HANGING HEART T-LIGHT HOLDER,17,03/09/2011 00:00,11.32,17876,UK
536369,85204,RED WOOLLY HOTTIE WHITE HEART,45,08/06/2011 00:00,12.62,17919,Germany
536369,85206,RED WOOLLY HOTTIE WHITE HEART,32,27/02/2011 00:00,6.09,17944,Germany
536369,85164,BLUE SKITTLE GIFTBOX,5,09/04/2011 00:00,10.08,17994,Norway
536369,85216,BLUE SKITTLE GIFTBOX,39,24/05/2011 00:00,4.2,18338,EIRE
536369,85188,WHITE HANGING HEART T-LIGHT HOLDER,20,23/09/2011 00:00,9.44,18005,Sweden
536369,85220,RED WOOLLY HOTTIE WHITE HEART,28,04/05/2011 00:00,1.45,18122,Norway
536369,85155,HAND WARMER UNION JACK,18,09/12/2010 00:00,10.31,18251,Germany
536369,85213,WHITE HANGING HEART T-LIGHT HOLDER,44,11/05/2011 00:00,7.74,18222,Switzerland
536369,85150,HAND WARMER UNION JACK,48,26/09/2011 00:00,3.07,18146,Switzerland
536369,85157,WHITE HANGING HEART T-LIGHT HOLDER,46,19/03/2011 00:00,1.82,18339,Italy
536370,85125,HAND WARMER UNION JACK,39,17/12/2010 00:00,14.74,18198,Norway
536370,85156,BLUE SKITTLE GIFTBOX,23,16/04/2011 00:00,8.48,18103,Belgium
536370,85216,RECIPE BOX WITH METAL LID,33,03/08/2011 00:00,4.06,18195,Belgium
536370,85174,WHITE HANGING HEART T-LIGHT HOLDER,20,31/08/2011 00:00,4.58,18211,Norway
536370,85189,BLUE SKITTLE GIFTBOX,36,04/03/2011 00:00,3.89,17909,Netherlands
536370,85168,CREAM CUPID HEARTS COAT HANGER,37,04/12/2010 00:00,4.0,17960,EIRE
536370,85200,CREAM CUPID HEARTS COAT HANGER,1,06/02/2011 00:00,7.47,18320,UK
536370,85188,HAND WARMER UNION JACK,46,09/08/2011 00:00,0.96,18316,Switzerland
536370,85127,CREAM CUPID HEARTS COAT HANGER,47,29/05/2011 00:00,1.54,17899,Switzerland
536370,85146,WHITE HANGING HEART T-LIGHT HOLDER,1,28/04/2011 00:00,11.64,17896,EIRE
536370,85219,KNITTED UNION FLAG HOT WATER BOTTLE,4,18/06/2011 00:00,9.47,18136,EIRE
536370,85172,RECIPE BOX WITH METAL LID,43,16/12/2010 00:00,5.19,18309,France
536370,85140,RED WOOLLY HOTTIE WHITE HEART,47,20/02/2011 00:00,12.63,18346,EIRE
536370,85133,HAND WARMER UNION JACK,42,05/01/2011 00:00,14.44,18262,France
536370,85222,RECIPE BOX WITH METAL LID,5,21/12/2010 00:00,13.77,17918,Sweden
536370,85178,HAND WARMER UNION JACK,23,26/07/2011 00:00,13.75,17922,Italy
536370,85139,KNITTED UNION FLAG HOT WATER BOTTLE,24,04/12/2010 00:00,5.1,18171,Germany
536370,85223,WHITE HANGING HEART T-LIGHT HOLDER,50,13/08/2011 00:00,14.65,18264,Italy
536370,85124,WHITE HANGING HEART T-LIGHT HOLDER,31,26/09/2011 00:00,5.52,18015,France
536370,85164,WHITE HANGING HEART T-LIGHT HOLDER,25,14/09/2011 00:00,6.56,18088,Norway
536371,85189,CREAM CUPID HEARTS COAT HANGER,1,24/06/2011 00:00,5.12,18191,Norway
536371,85179,RECIPE BOX WITH METAL LID,2,16/06/2011 00:00,6.19,18184,Sweden
536371,85159,WHITE HANGING HEART T-LIGHT HOLDER,10,06/06/2011 00:00,5.89,18101,Belgium
536371,85172,KNITTED UNION FLAG HOT WATER BOTTLE,34,19/01/2011 00:00,11.05,18309,Sweden
536371,85217,RED WOOLLY HOTTIE WHITE HEART,17,16/03/2011 00:00,10.28,18173,Italy
536371,85199,RECIPE BOX WITH METAL LID,17,21/07/2011 00:00,13.32,17904,France
536371,85201,RECIPE BOX WITH METAL LID,14,04/08/2011 00:00,4.62,18063,Netherlands
536371,85220,RED WOOLLY HOTTIE WHITE HEART,6,08/09/2011 00:00,6.58,17914,UK
536371,85212,KNITTED UNION FLAG HOT WATER BOTTLE,15,26/02/2011 00:00,12.05,17972,Netherlands
536371,85166,KNITTED UNION FLAG HOT WATER BOTTLE,32,13/09/2011 00:00,7.74,18109,Germany
536371,85213,WHITE HANGING HEART T-LIGHT HOLDER,12,13/07/2011 00:00,9.98,18256,EIRE
536371,85221,RECIPE BOX WITH METAL LID,37,26/02/2011 00:00,14.94,18346,Netherlands
536371,85127,CREAM CUPID HEARTS COAT HANGER,50,20/07/2011 00:00,12.72,18106,Germany
536371,85156,RED WOOLLY HOTTIE WHITE HEART,21,04/04/2011 00:00,2.54,17966,Sweden
536371,85174,HAND WARMER UNION JACK,1,08/04/2011 00:00,3.53,18332,Netherlands
536371,85155,RECIPE BOX WITH METAL LID,49,12/12/2010 00:00,13.12,17976,Sweden
536371,85165,HAND WARMER UNION JACK,37,27/05/2011 00:00,8.61,17924,Germany
536371,85194,WHITE HANGING HEART T-LIGHT HOLDER,13,11/12/2010 00:00,14.07,17980,Norway
536371,85180,RED WOOLLY HOTTIE WHITE HEART,27,27/04/2011 00:00,10.39,18066,EIRE
536371,85187,HAND WARMER UNION JACK,6,06/07/2011 00:00,8.21,18212,Switzerland
536372,85180,WHITE HANGING HEART T-LIGHT HOLDER,22,17/08/2011 00:00,10.44,18003,Italy
536372,85176,CREAM CUPID HEARTS COAT HANGER,12,23/09/2011 00:00,5.88,17924,Norway
536372,85125,RED WOOLLY HOTTIE WHITE HEART,19,30/04/2011 00:00,13.7,18068,Germany
536372,85186,BLUE SKITTLE GIFTBOX,23,09/04/2011 00:00,3.31,17931,Belgium
536372,85178,KNITTED UNION FLAG HOT WATER BOTTLE,34,05/05/2011 00:00,2.59,18296,Norway
536372,85169,HAND WARMER UNION JACK,21,07/08/2011 00:00,10.86,17856,Belgium
536372,85180,WHITE HANGING HEART T-LIGHT HOLDER,30,26/05/2011 00:00,7.04,17898,Norway
536372,85223,HAND WARMER UNION JACK,37,28/03/2011 00:00,5.01,17954,Norway
536372,85163,BLUE SKITTLE GIFTBOX,41,22/07/2011 00:00,14.97,18162,Switzerland
536372,85161,CREAM CUPID HEARTS COAT HANGER,26,05/01/2011 00:00,4.0,18100,EIRE
536372,85155,CREAM CUPID HEARTS COAT HANGER,13,25/04/2011 00:00,13.4,18138,Italy
536372,85207,RECIPE BOX WITH METAL LID,21,07/09/2011 00:00,10.49,18258,Belgium
536372,85181,RED WOOLLY HOTTIE WHITE HEART,32,21/01/2011 00:00,7.33,17877,France
536372,85167,BLUE SKITTLE GIFTBOX,3,05/12/2010 00:00,12.04,17896,France
536372,85163,KNITTED UNION FLAG HOT WATER BOTTLE,15,05/08/2011 00:00,12.53,17982,Belgium
536372,85185,BLUE SKITTLE GIFTBOX,20,09/12/2010 00:00,11.99,17866,Sweden
536372,85132,KNITTED UNION FLAG HOT WATER BOTTLE,3,09/06/2011 00:00,7.68,18209,Germany
536372,85152,RED WOOLLY HOTTIE WHITE HEART,44,12/07/2011 00:00,11.4,18044,Sweden
536372,85146,KNITTED UNION FLAG HOT WATER BOTTLE,28,18/05/2011 00:00,6.79,18206,Italy
536372,85161,WHITE HANGING HEART T-LIGHT HOLDER,30,21/03/2011 00:00,1.2,18130,Switzerland
536373,85163,BLUE SKITTLE GIFTBOX,12,14/01/2011 00:00,12.78,17886,Belgium
536373,85184,HAND WARMER UNION JACK,36,02/03/2011 00:00,7.37,18350,Italy
536373,85200,KNITTED UNION FLAG HOT WATER BOTTLE,7,26/12/2010 00:00,3.73,18212,Sweden
536373,85142,CREAM CUPID HEARTS COAT HANGER,4,23/05/2011 00:00,14.62,18326,UK
536373,85184,RECIPE BOX WITH METAL LID,3,11/02/2011 00:00,10.15,18030,Norway
536373,85175,BLUE SKITTLE GIFTBOX,15,15/01/2011 00:00,9.28,17953,France
536373,85215,CREAM CUPID HEARTS COAT HANGER,14,29/05/2011 00:00,4.52,18148,UK
536373,85172,HAND WARMER UNION JACK,39,09/07/2011 00:00,6.87,18158,Netherlands
536373,85191,BLUE SKITTLE GIFTBOX,14,30/06/2011 00:00,6.02,18048,Italy
536373,85218,KNITTED UNION FLAG HOT WATER BOTTLE,43,26/09/2011 00:00,11.76,18163,Italy
536373,85190,KNITTED UNION FLAG HOT WATER BOTTLE,13,30/06/2011 00:00,14.72,18116,France
536373,85222,RED WOOLLY HOTTIE WHITE HEART,49,15/01/2011 00:00,10.01,18341,Italy
536373,85209,BLUE SKITTLE GIFTBOX,20,08/12/2010 00:00,10.64,17955,EIRE
536373,85141,RECIPE BOX WITH METAL LID,21,01/03/2011 00:00,9.15,17933,France
536373,85197,RECIPE BOX WITH METAL LID,31,09/02/2011 00:00,8.49,18195,Belgium
536373,85179,RECIPE BOX WITH METAL LID,40,24/12/2010 00:00,14.99,17993,UK
536373,85199,CREAM CUPID HEARTS COAT HANGER,11,15/02/2011 00:00,7.2,18317,Norway
536373,85200,BLUE SKITTLE GIFTBOX,47,27/05/2011 00:00,5.6,17976,Belgium
536373,85149,BLUE SKITTLE GIFTBOX,50,02/09/2011 00:00,2.86,18280,France
536373,85178,KNITTED UNION FLAG HOT WATER BOTTLE,46,02/06/2011 00:00,5.06,18117,Netherlands
536374,85180,WHITE HANGING HEART T-LIGHT HOLDER,49,26/08/2011 00:00,14.4,17919,Norway
536374,85156,KNITTED UNION FLAG HOT WATER BOTTLE,7,24/02/2011 00:00,7.07,18253,Netherlands
536374,85215,CREAM CUPID HEARTS COAT HANGER,4,20/08/2011 00:00,7.97,18284,Germany
536374,85176,WHITE HANGING HEART T-LIGHT HOLDER,16,04/07/2011 00:00,0.95,17887,Norway
536374,85205,RED WOOLLY HOTTIE WHITE HEART,28,07/04/2011 00:00,3.14,17974,Sweden
536374,85143,HAND WARMER UNION JACK,28,16/01/2011 00:00,10.26,17964,Italy
536374,85144,RECIPE BOX WITH METAL LID,36,06/09/2011 00:00,12.46,18226,UK
536374,85169,RED WOOLLY HOTTIE WHITE HEART,35,24/12/2010 00:00,3.47,18169,Italy
536374,85216,CREAM CUPID HEARTS COAT HANGER,49,16/03/2011 00:00,7.56,18194,Netherlands
536374,85220,BLUE SKITTLE GIFTBOX,47,02/08/2011 00:00,12.22,18275,France
536374,85215,WHITE HANGING HEART T-LIGHT HOLDER,24,08/12/2010 00:00,6.37,18249,EIRE
536374,85130,BLUE SKITTLE GIFTBOX,38,14/04/2011 00:00,5.14,18057,Norway
536374,85200,KNITTED UNION FLAG HOT WATER BOTTLE,34,06/12/2010 00:00,11.86,17921,EIRE
536374,85184,WHITE HANGING HEART T-LIGHT HOLDER,2,28/05/2011 00:00,14.55,18086,Belgium
536374,85132,RECIPE BOX WITH METAL LID,19,30/06/2011 00:00,10.69,18257,EIRE
536374,85219,HAND WARMER UNION JACK,23,29/12/2010 00:00,13.43,18009,Sweden
536374,85192,CREAM CUPID HEARTS COAT HANGER,47,28/01/2011 00:00,10.69,18205,Norway
536374,85175,CREAM CUPID HEARTS COAT HANGER,28,20/02/2011 00:00,7.2,18275,Italy
536374,85214,CREAM CUPID HEARTS COAT HANGER,25,17/03/2011 00:00,3.27,18218,Norway
536374,85210,CREAM CUPID HEARTS COAT HANGER,16,07/01/2011 00:00,8.58,18017,Sweden
536375,85161,CREAM CUPID HEARTS COAT HANGER,39,03/02/2011 00:00,5.85,18154,Norway
536375,85210,CREAM CUPID HEARTS COAT HANGER,30,20/04/2011 00:00,4.57,18023,UK
536375,85207,RECIPE BOX WITH METAL LID,13,17/07/2011 00:00,11.31,18275,Belgium
536375,85124,WHITE HANGING HEART T-LIGHT HOLDER,43,23/01/2011 00:00,11.61,17906,Belgium
536375,85152,RED WOOLLY HOTTIE WHITE HEART,6,12/12/2010 00:00,13.79,18149,Italy
536375,85212,RED WOOLLY HOTTIE WHITE HEART,11,30/01/2011 00:00,8.36,18278,Netherlands
536375,85193,RECIPE BOX WITH METAL LID,17,12/06/2011 00:00,10.19,17890,Sweden
536375,85164,HAND WARMER UNION JACK,47,31/07/2011 00:00,5.41,18291,France
536375,85210,BLUE SKITTLE GIFTBOX,49,27/05/2011 00:00,5.89,17987,Norway
536375,85196,RECIPE BOX WITH METAL LID,22,12/08/2011 00:00,3.11,18262,Germany
536375,85171,BLUE SKITTLE GIFTBOX,19,11/03/2011 00:00,1.8,17859,France
536375,85130,CREAM CUPID HEARTS COAT HANGER,15,04/03/2011 00:00,5.64,18293,EIRE
536375,85199,RED WOOLLY HOTTIE WHITE HEART,9,27/09/2011 00:00,12.76,18278,Belgium
536375,85212,RED WOOLLY HOTTIE WHITE HEART,44,12/08/2011 00:00,13.02,17922,Belgium
536375,85181,RED WOOLLY HOTTIE WHITE HEART,44,30/12/2010 00:00,9.66,18284,Sweden
536375,85220,WHITE HANGING HEART T-LIGHT HOLDER,12,01/04/2011 00:00,7.55,18244,Germany
536375,85194,KNITTED UNION FLAG HOT WATER BOTTLE,15,05/06/2011 00:00,12.49,17926,France
536375,85125,RECIPE BOX WITH METAL LID,36,12/06/2011 00:00,9.66,18340,Belgium
536375,85157,RED WOOLLY HOTTIE WHITE HEART,28,07/03/2011 00:00,5.87,18266,France
536375,85221,RECIPE BOX WITH METAL LID,30,18/09/2011 00:00,5.54,17918,EIRE
536376,85177,HAND WARMER UNION JACK,32,27/12/2010 00:00,7.87,17914,EIRE
536376,85168,CREAM CUPID HEARTS COAT HANGER,12,19/12/2010 00:00,9.21,18189,EIRE
536376,85140,HAND WARMER UNION JACK,50,16/09/2011 00:00,5.55,17996,France
536376,85186,RED WOOLLY HOTTIE WHITE HEART,26,24/09/2011 00:00,1.05,18221,Norway
536376,85138,CREAM CUPID HEARTS COAT HANGER,46,04/01/2011 00:00,14.55,18037,UK
536376,85165,RED WOOLLY HOTTIE WHITE HEART,43,04/01/2011 00:00,14.02,18211,EIRE
536376,85188,HAND WARMER UNION JACK,12,04/06/2011 00:00,13.53,18319,Switzerland
536376,85134,CREAM CUPID HEARTS COAT HANGER,17,17/03/2011 00:00,14.58,18040,Italy
536376,85211,RED WOOLLY HOTTIE WHITE HEART,30,13/12/2010 00:00,8.98,18254,Belgium
536376,85219,RED WOOLLY HOTTIE WHITE HEART,19,23/03/2011 00:00,13.2,18254,Belgium
536376,85136,WHITE HANGING HEART T-LIGHT HOLDER,27,16/03/2011 00:00,14.4,18211,France
536376,85183,KNITTED UNION FLAG HOT WATER BOTTLE,13,10/05/2011 00:00,7.21,18104,Germany
536376,85144,RECIPE BOX WITH METAL LID,42,26/01/2011 00:00,4.75,18225,Netherlands
536376,85202,BLUE SKITTLE GIFTBOX,30,10/01/2011 00:00,5.51,18128,Switzerland
536376,85222,BLUE SKITTLE GIFTBOX,32,21/01/2011 00:00,11.46,18196,Germany
536376,85222,CREAM CUPID HEARTS COAT HANGER,7,31/01/2011 00:00,14.96,18147,France
536376,85176,CREAM CUPID HEARTS COAT HANGER,30,11/08/2011 00:00,12.82,18206,Sweden
536376,85151,WHITE HANGING HEART T-LIGHT HOLDER,36,16/01/2011 00:00,4.78,18310,Germany
536376,85211,WHITE HANGING HEART T-LIGHT HOLDER,44,13/04/2011 00:00,14.92,18338,Netherlands
536376,85148,RECIPE BOX WITH METAL LID,43,07/09/2011 00:00,10.95,18215,Germany
536377,85204,CREAM CUPID HEARTS COAT HANGER,3,01/04/2011 00:00,5.4,18301,Netherlands
536377,85180,CREAM CUPID HEARTS COAT HANGER,14,24/08/2011 00:00,5.3,17925,Belgium
536377,85205,HAND WARMER UNION JACK,9,01/12/2010 00:00,7.95,18046,EIRE
536377,85157,BLUE SKITTLE GIFTBOX,10,01/01/2011 00:00,9.25,18310,Switzerland
536377,85124,HAND WARMER UNION JACK,33,06/07/2011 00:00,9.56,17877,Switzerland
536377,85135,RECIPE BOX WITH METAL LID,36,10/08/2011 00:00,3.98,18267,Netherlands
536377,85191,RED WOOLLY HOTTIE WHITE HEART,24,12/04/2011 00:00,7.1,18030,EIRE
536377,85162,RECIPE BOX WITH METAL LID,18,17/03/2011 00:00,12.94,17887,UK
536377,85152,RED WOOLLY HOTTIE WHITE HEART,14,08/07/2011 00:00,11.06,18179,EIRE
536377,85220,HAND WARMER UNION JACK,23,23/09/2011 00:00,14.58,18291,Norway
536377,85135,HAND WARMER UNION JACK,23,21/04/2011 00:00,5.62,18301,France
536377,85195,RED WOOLLY HOTTIE WHITE HEART,1,08/12/2010 00:00,4.39,18244,UK
536377,85216,WHITE HANGING HEART T-LIGHT HOLDER,9,11/12/2010 00:00,10.7,18350,France
536377,85155,KNITTED UNION FLAG HOT WATER BOTTLE,18,08/06/2011 00:00,10.22,18262,Norway
536377,85170,RECIPE BOX WITH METAL LID,24,11/05/2011 00:00,14.67,17919,Belgium
536377,85196,CREAM CUPID HEARTS COAT HANGER,4,19/09/2011 00:00,1.99,17912,Switzerland
536377,85196,HAND WARMER UNION JACK,10,01/12/2010 00:00,5.19,18218,Switzerland
536377,85153,KNITTED UNION FLAG HOT WATER BOTTLE,47,10/04/2011 00:00,8.89,18345,EIRE
536377,85210,CREAM CUPID HEARTS COAT HANGER,36,23/02/2011 00:00,5.85,18162,Norway
536377,85147,RED WOOLLY HOTTIE WHITE HEART,4,24/01/2011 00:00,11.95,18092,Italy
536378,85220,KNITTED UNION FLAG HOT WATER BOTTLE,39,12/05/2011 00:00,7.24,18068,Sweden
536378,85138,HAND WARMER UNION JACK,15,04/05/2011 00:00,8.73,17855,Switzerland
536378,85182,CREAM CUPID HEARTS COAT HANGER,44,10/07/2011 00:00,6.25,18042,UK
536378,85173,BLUE SKITTLE GIFTBOX,20,29/12/2010 00:00,7.15,18110,Sweden
536378,85184,RECIPE BOX WITH METAL LID,37,24/08/2011 00:00,11.35,17873,Sweden
536378,85124,CREAM CUPID HEARTS COAT HANGER,21,28/06/2011 00:00,2.23,18036,France
536378,85129,HAND WARMER UNION JACK,37,05/05/2011 00:00,4.7,17861,UK
536378,85171,BLUE SKITTLE GIFTBOX,9,16/05/2011 00:00,6.94,18090,Norway
536378,85157,RED WOOLLY HOTTIE WHITE HEART,1,21/01/2011 00:00,1.52,18147,Sweden
536378,85171,CREAM CUPID HEARTS COAT HANGER,45,01/06/2011 00:00,3.32,18148,France
536378,85207,RECIPE BOX WITH METAL LID,11,10/01/2011 00:00,5.6,17875,EIRE
536378,85188,HAND WARMER UNION JACK,14,24/08/2011 00:00,1.23,18264,France
536378,85155,RED WOOLLY HOTTIE WHITE HEART,48,29/08/2011 00:00,2.08,17909,Belgium
536378,85141,CREAM CUPID HEARTS COAT HANGER,41,16/08/2011 00:00,6.51,17900,Switzerland
536378,85218,HAND WARMER UNION JACK,7,17/07/2011 00:00,5.52,17875,Germany
